Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
439963,535-зд от 16.09.2022,Гуп 'тэк спб',7830001028,Ооо 'ик энергия',7810729228,Колпинский,"Санкт-петербург, город колпино, перекресток ул.карла маркса и павловской ул.",Полное закрытие дв.,Работы по прокладке тепловой сети,20220926,20221010,20221114,(этап 1 + 1.1 +2.1),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=559941&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=439963&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e505598&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=728504&p3=243&p4=439963,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334504&p3=88&p4=439963,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e439963&msk=0&t=1
440029,532-зд от 16.09.2022,Ооо 'специализированный застройщик 'сэтл стандарт',7810787580,Ооо 'специализированный застройщик 'сэтл стандарт',7810787580,Невский,Пр.обуховской обороны у д.38),Огранич.движения,Работы по размещению пешеходной галереи,20220920,20241213,20221010,(этапы 1-3 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560542&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440029&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e484976&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=728747&p3=234&p4=440029,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334592&p3=51&p4=440029,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440029&msk=0&t=1
440031,534-зд от 16.09.2022,Спб гку 'дирекция транспортного строительства',7825342390,Спб гку 'дирекция транспортного строительства',7825342390,Приморский,Шуваловский пр. От планерной ул. До комендантского пр.),Огранич.движения,Работы по ремонту дорожного покрытия,20220920,20221002,20221003,(этапы 1-4 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560677&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440031&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e507706&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=728981&p3=242&p4=440031,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334643&p3=92&p4=440031,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440031&msk=0&t=1
440036,533-зд от 16.09.2022,Спб гку 'додд',7801145804,Спб гку 'додд',7801145804,Кировский,Пр.стачек у д.18),Огранич.движения,Работы по реконструкции светофорного объекта,20220921,20221015,20221111,(этапы 2-6 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560546&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440036&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e484997&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=729223&p3=278&p4=440036,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334735&p3=227&p4=440036,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440036&msk=0&t=1
440045,531-зд от 16.09.2022,Ооо 'петербурггаз',7838017541,Ооо 'петербурггаз',7838017541,Приморский,Сегалева ул. От новоорловской ул. До чистяковской ул.),Полное закрытие дв.,Работы по строительству газопровода,20220925,20221111,20221123,(этап 1) и с 07.11.2022 по 11.11.2022 (этап 2),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560543&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440045&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e439255&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=729501&p3=234&p4=440045,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=334962&p3=56&p4=440045,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440045&msk=0&t=1
440046,538-зд от 16.09.2022,Ооо 'ск северо-запад',9705070363,Ооо 'квадрострой',9728028914,Кронштадтский,"Кронштадтское шоссе (г.кронштадт) , цитадельская дорога, цитадельское шоссе, ул.литке, ул.гидростроителей)",Огранич.движения,Работы по устройству и демонтажу временных дорог,20220920,20221031,20221107,(этапы 1-4 последовательно) и с 24.10.2022 по 31.10.2022 (этапы 1-4 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=562492&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440046&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e485179&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=729735&p3=311&p4=440046,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=335018&p3=239&p4=440046,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440046&msk=0&t=1
440180,552-зд от 21.09.2022,Ооо 'петербурггаз',7838017541,Ооо 'петербурггаз',7838017541,Колпинский,Дор.на металлострой (посёлок петро-славянка) от северного проезда до ул.третьей пятилетки),Огранич.движения,Работы по прокладке газопровода,20221029,20221129,20221205,На срок 29.10.2022 (этап 1) и с 28.11.2022 по 29.11.2022 (этап 2),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560905&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440180&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e439460&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=730046&p3=234&p4=440180,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=335257&p3=53&p4=440180,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440180&msk=0&t=1
440186,551-зд от 21.09.2022,Гуп 'водоканал санкт-петербурга',7830000426,Гуп 'водоканал санкт-петербурга',7830000426,Калининский,Ул.жукова от феодосийской ул. До кондратьевского пр.),Огранич.движения,Работы по прокладке канализации,20220924,20221029,20221031,(этапы 1-5 последовательно),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560681&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440186&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e507683&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=730280&p3=234&p4=440186,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=335310&p3=55&p4=440186,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440186&msk=0&t=1
440190,550-зд от 21.09.2022,Ооо 'петербурггаз',7838017541,Ооо 'петербурггаз',7838017541,Красносельский,"Стрельнинское шоссе (торики) , аннинское шоссе)",Огранич.движения,Работы по строительству газопровода,20220926,20221219,20221102,(этапы 1-3 последовательно) и с 18.12.2022 по 19.12.2022 (этап 4),Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560676&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440190&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e439354&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=730514&p3=238&p4=440190,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=335365&p3=68&p4=440190,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440190&msk=0&t=1
440201,542-зд от 21.09.2022,Гуп 'водоканал санкт-петербурга',7830000426,Гуп 'водоканал санкт-петербурга',7830000426,Фрунзенский,Софийская ул. От пр.александровской фермы до южного шоссе),Огранич.движения,Работы по прокладке инженерных сетей,20221022,20221031,20221107,-,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=560884&t=1,Http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=440201&t=1,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e439379&msk=0&t=1,Http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=730752&p3=234&p4=440201,Http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=335433&p3=55&p4=440201,Http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e440201&msk=0&t=1
